id,Site,Date,Atelier,Chaine,Activite,Objectif,Min_Produit,Min_Pres,Rend,Ecart,Qte,Min_Moyen,Absence,Ajouter,Semaine
1,POLEX,1/2/2020,,PG1,Confection,0.62,5877,11115,0.53,-0.09,383,15.34464752,0.09,TAREK,1
1,POLEX,1/2/2020,P1,PG1,Confection,0.62,5877,11115,0.53,-0.09,383,15.34464752,0.09,TAREK,1
2,Pg3,1/2/2020,P1,PG2,Confection,0.62,5770,11715,0.49,-0.13,400,14,0.09,TAREK,1
2,POLEX,1/2/2020,P1,PG2,Confection,0.62,5770,11715,0.49,-0.13,400,14,0.09,TAREK,1
3,POLEX,1/2/2020,P1,PG3,Confection,0.62,5165,7590,0.68,0.06,426,12,0.09,TAREK,1
4,POLEX,1/2/2020,P1,,Confection,0.62,4448,10485,0.42,-0.2,381,12,0.09,TAREK,1
5,POLEX,1/2/2020,,PG5,Confection,0.62,5426,9375,0.58,-0.04,294,18,0.09,TAREK,1
6,POLEX,1/2/2020,P1,PG6,Confection,0.62,6095,10710,0.57,-0.05,522,12,0.09,TAREK,1
7,POLEX,1/2/2020,P2,TG1,,0.62,6361,10200,0.62,0,359,18,0.06,TAREK,1
8,,1/2/2020,P2,TG2,Confection,0.62,8020,12240,0.66,0.04,240,33,0.06,TAREK,
9,POLEX,1/2/2020,P2,TG4,Confection,0.62,3543,8940,0.4,-0.22,174,20,0.06,TAREK,1
10,POLEX,1/2/2020,P2,TG5,Confection,0.62,6137,9690,0.63,0.01,418,15,0.06,,1
11,POLEX,1/2/2020,,TG6,Confection,0.62,6117,10200,0.6,-0.02,354,17,0.06,TAREK,1
12,SOTUINTEX,1/2/2020,A,A1,Confection,0.5,15853,24223,0.65,0.15,725,22,0.15,Mehdi,1
13,SOTUINTEX,1/2/2020,A,A2,Confection,0.5,12024,25073,0.48,-0.02,754,16,0.04,Mehdi,1
14,SOTUINTEX,1/2/2020,,A3,Confection,0.5,0,25059,0,-0.5,0,0,0.04,Mehdi,1
15,SOTUINTEX,1/2/2020,B,B1,Confection,0.5,3843,22802,0.17,-0.33,61,63,0.02,Mehdi,1
16,SOTUINTEX,1/2/2020,,B2,Confection,0.5,6025,13637,0.44,-0.06,250,24,0.11,,1
17,SOTUINTEX,1/2/2020,B,B3,Confection,0.5,2775,5018,0.55,0.05,300,9,0.3,Mehdi,1
18,SOTUINTEX,1/2/2020,C,,Confection,0.5,10498,28807,0.36,-0.14,181,58,0.07,Mehdi,1
19,,1/2/2020,C,C2,Confection,0.5,15480,28473,0.54,0.04,344,45,0.05,Mehdi,1
20,SOTUINTEX,1/2/2020,C,C3,Confection,0.5,16480,29080,0.57,0.07,320,52,0.05,Mehdi,1
21,FINO INTER,1/2/2020,FINITION,FINITION,,0.7,8400,12480,0.67,-0.03,840,10,0.31,TAREK,1
22,FINO INTER,1/2/2020,EFFET Speciaux,EFFET Speciaux,Lavage,0.7,12018,16800,0.72,0.02,4042,3,0.03,TAREK,1
23,MCM,1/2/2020,MCM,MCM,Confection,0.5,17851.3,35400,0.5,0,1780,10.0288,0.14,TAREK,1
24,TFG,1/2/2020,TFG,TFG,Confection,0.45,,40800,0.41,-0.04,1581,10.6417,0.14,TAREK,1
25,ATS,1/2/2020,ATS,ATS,Confection,0.4,12952,34710,0.37,-0.03,993,13.0433,0.09,TAREK,1
26,TUNITEX,1/2/2020,A2,Section 2,Confection,0.57,18402.7,33630,0.55,-0.02,1468,12.5359,0.19,TAREK,1
27,TUNITEX,1/2/2020,A3,Section 1,Confection,0.57,16420.4,31050,0.53,-0.04,1431,11.4748,0.25,TAREK,1
28,TUNITEX,1/2/2020,A3,Section 2,Confection,0.57,22386.1,37845,0.59,0.02,1217,18.3945,0.08,,1
29,TUNITEX,1/2/2020,A1,A1,Confection,0.57,18046.7,35595,0.51,-0.06,1432,12.6024,0.13,TAREK,1
30,,1/2/2020,A2,Section 1,Confection,0.57,20925.9,34350,0.61,0.04,1516,13.8033,0.15,TAREK,1
31,TMT,,M1,M1,Confection,0.57,33354,55832,0.6,0.03,2046,16,0.17,TAREK,1
32,TMT,1/2/2020,M2,,Confection,0.57,16240,28316,0.57,0,2337,7,0.13,TAREK,1
33,POLEX,1/3/2020,P1,PG1,Confection,0.62,7048,11385,0.62,0,459,15,0.1,TAREK,1
34,POLEX,1/3/2020,P1,PG2,Confection,0.62,6058,11220,0.54,-0.08,420,14,0.1,TAREK,1
35,POLEX,1/3/2020,P1,PG3,Confection,0.62,4487,7080,0.63,0.01,370,12,0.1,TAREK,1
36,POLEX,1/3/2020,P1,PG4,Confection,0.62,1409,10590,0.13,-0.49,101,14,0.1,TAREK,1
37,POLEX,1/3/2020,P1,PG5,Confection,0.62,5197,9030,0.58,-0.04,365,14,0.1,TAREK,1
38,POLEX,1/3/2020,P1,PG6,,0.62,5605,11475,0.49,-0.13,480,12,0.1,TAREK,1
39,POLEX,1/3/2020,P2,TG1,Confection,0.62,6644,10200,0.65,0.03,375,18,0.07,TAREK,1
40,,1/3/2020,P2,TG2,Confection,0.62,7919,12240,0.65,0.03,237,33,0.07,TAREK,1
41,POLEX,1/3/2020,P2,TG4,Confection,0.62,5122,8565,0.6,-0.02,247,21,0.07,TAREK,1
42,POLEX,1/3/2020,P2,TG5,Confection,0.62,6196,10110,0.61,-0.01,422,15,0.07,TAREK,1
43,POLEX,1/3/2020,P2,TG6,Confection,0.62,6100,10020,0.61,-0.01,353,17,0.07,TAREK,1
44,SOTUINTEX,1/3/2020,A,A1,Confection,0.5,13894,23667,0.59,0.09,708,20,0.15,Mehdi,1
45,SOTUINTEX,1/3/2020,A,A2,Confection,0.5,8345,24212,0.34,-0.16,360,23,0.08,Mehdi,1
46,SOTUINTEX,1/3/2020,A,A3,Confection,0.5,0,25015,0,-0.5,0,0,0.04,Mehdi,1
47,SOTUINTEX,1/3/2020,B,B1,Confection,0.5,6728,22400,0.3,-0.2,116,58,0.05,Mehdi,1
48,SOTUINTEX,1/3/2020,B,B2,Confection,0.5,7883,12738,0.62,0.12,309,26,0.2,Mehdi,1
49,SOTUINTEX,1/3/2020,B,,Confection,0.5,2313,6630,0.35,-0.15,250,9,0.18,Mehdi,1
50,SOTUINTEX,1/3/2020,C,C1,Confection,0.5,16530,28834,0.57,0.07,470,35,0.07,Mehdi,1
51,SOTUINTEX,1/3/2020,C,C2,Confection,0.5,15300,29039,0.53,0.03,340,45,0.05,Mehdi,1
52,SOTUINTEX,1/3/2020,C,C3,Confection,0.5,20600,29672,0.69,0.19,400,52,0.04,Mehdi,1
53,FINO INTER,1/3/2020,FINITION,FINITION,Lavage,0.7,9240,13440,0.69,-0.01,924,10,0.21,TAREK,1
54,FINO INTER,1/3/2020,,EFFET Speciaux,Lavage,0.7,7079,14880,0.48,-0.22,2494,3,0.16,TAREK,1
55,MCM,1/3/2020,MCM,MCM,Confection,0.5,18618.5,37125,0.5,0,1812,10.2751,0.1,TAREK,1
56,TFG,1/3/2020,TFG,TFG,Confection,0.45,16768.2,40830,0.41,-0.04,1554,10.7904,0.1,TAREK,1
57,ATS,1/3/2020,ATS,ATS,Confection,0.4,12645.2,34275,0.37,-0.03,959,13.1858,0.12,TAREK,1
58,TUNITEX,1/3/2020,A2,Section 2,Confection,0.57,17436.4,33525,0.52,-0.05,1402,12.4368,0.19,TAREK,1
59,TUNITEX,1/3/2020,A3,Section 1,Confection,0.57,16646.8,33015,0.5,-0.07,1318,12.6303,0.2,TAREK,1
60,TUNITEX,1/3/2020,A3,Section 2,Confection,0.57,,37755,0.61,0.04,1212,19.1543,0.08,TAREK,1
61,TUNITEX,1/3/2020,A1,A1,,0.57,18828.9,36690,0.51,-0.06,1428,13.1855,0.12,TAREK,1
62,TUNITEX,1/3/2020,A2,,Confection,0.57,19834.3,34155,0.58,0.01,1418,13.9875,0.15,TAREK,1
63,TMT,,M1,M1,Confection,0.57,33181,56273,0.59,0.02,1568,21,0.19,,1
64,,1/3/2020,M2,Section 12,Confection,0.57,15118,29900,0.51,-0.06,2174,7,0.1,TAREK,1
65,SOTUINTEX,1/4/2020,A,A1,Confection,0.5,5943,15931,0.37,-0.13,322,18,0.12,Mehdi,1
66,SOTUINTEX,1/4/2020,A,A2,Confection,0.5,5210,15494,0.34,-0.16,286,18,0.1,Mehdi,1
67,SOTUINTEX,1/4/2020,A,A3,Confection,0.5,0,16156,0,-0.5,0,0,0.04,Mehdi,1
68,SOTUINTEX,1/4/2020,B,B1,Confection,0.5,5800,14177,0.41,-0.09,100,58,0.05,Mehdi,1
69,SOTUINTEX,1/4/2020,B,B2,Confection,0.5,3115,12182,0.26,-0.24,178,18,0.19,Mehdi,1
70,SOTUINTEX,1/4/2020,C,C1,Confection,0.5,5006,18929,0.26,-0.24,177,28,0.07,Mehdi,1
71,SOTUINTEX,1/4/2020,C,C2,Confection,0.5,7740,18068,0.43,-0.07,172,45,0.07,Mehdi,1
72,SOTUINTEX,1/4/2020,C,C3,Confection,0.5,12669,19736,0.64,0.14,246,52,0.03,Mehdi,1
73,FINO INTER,1/4/2020,FINITION,FINITION,Lavage,0.7,3060,6210,0.49,-0.21,306,10,0.48,TAREK,1
74,FINO INTER,1/4/2020,EFFET Speciaux,EFFET Speciaux,Lavage,0.7,3882,8370,0.46,-0.24,1409,3,0.16,TAREK,1
75,MCM,,MCM,MCM,Confection,0.5,11135.9,22995,0.48,-0.02,962,11.5758,0.14,TAREK,1
76,TFG,1/4/2020,TFG,TFG,Confection,0.45,11019.5,26400,0.42,-0.03,1044,10.555,0.14,TAREK,1
77,ATS,1/4/2020,ATS,,Confection,0.4,8671.34,22305,0.39,-0.01,666,13.02,0.11,TAREK,1
78,TUNITEX,1/4/2020,A2,Section 2,Confection,0.57,9905.09,20760,0.48,-0.09,793,12.4907,0.18,TAREK,1
79,TUNITEX,1/4/2020,A3,Section 1,Confection,0.57,9854.07,19305,0.51,-0.06,840,11.731,0.22,TAREK,1
80,TUNITEX,1/4/2020,A3,Section 2,Confection,0.57,13114.7,23175,0.57,0,668,19.6327,0.04,TAREK,1
81,TUNITEX,1/4/2020,A1,A1,Confection,0.57,10657.8,22620,0.47,-0.1,862,12.3641,0.09,TAREK,1
82,TUNITEX,1/4/2020,A2,Section 1,Confection,0.57,11815.8,20025,0.59,0.02,839,14.0832,0.16,TAREK,1
83,TMT,1/4/2020,M1,M1,Confection,0.57,31129,48723,0.64,0.07,2078,15,0.19,TAREK,1
84,TMT,1/4/2020,M2,Section 11,Confection,0.57,14464,23541,0.61,0.04,2214,7,0.16,TAREK,1
85,TMT,1/4/2020,,Section 12,Confection,0.57,14697,26494,0.55,-0.02,2209,7,0.08,TAREK,1
86,POLEX,1/6/2020,P1,PG1,Confection,0.62,7571,12240,0.62,0,494,15,0.05,TAREK,2
87,POLEX,1/6/2020,P1,PG2,Confection,0.62,5351,12240,0.44,-0.18,371,14,0.05,TAREK,2
88,POLEX,1/6/2020,P1,PG3,Confection,0.62,5032,7590,0.66,0.04,415,12,0.05,TAREK,2
89,POLEX,1/6/2020,P1,PG4,Confection,0.62,1852,10530,0.18,-0.44,80,23,0.05,TAREK,2
90,POLEX,1/6/2020,P1,PG5,Confection,0.62,6294,10200,0.62,0,460,14,0.05,TAREK,2
91,POLEX,1/6/2020,P1,PG6,Confection,0.62,3736,10710,0.35,-0.27,320,12,0.05,TAREK,2
92,POLEX,1/6/2020,P2,TG1,Confection,0.62,6379,9690,0.66,0.04,360,18,0.1,TAREK,2
93,POLEX,1/6/2020,P2,TG2,Confection,0.62,8020,11940,0.67,0.05,240,33,0.1,TAREK,2
94,POLEX,1/6/2020,P2,TG4,Confection,0.62,5317,8295,0.64,0.02,251,21,0.1,TAREK,2
95,POLEX,1/6/2020,P2,TG5,Confection,0.62,6079,10860,0.56,-0.06,414,15,0.1,TAREK,2
96,POLEX,1/6/2020,P2,TG6,Confection,0.62,5288,8460,0.63,0.01,321,16,0.1,TAREK,2
97,SOTUINTEX,1/6/2020,A,A1,Confection,0.5,6155,22899,0.27,-0.23,344,18,0.17,Mehdi,2
98,SOTUINTEX,1/6/2020,A,A2,Confection,0.5,8352,24356,0.34,-0.16,232,36,0.08,Mehdi,2
99,SOTUINTEX,1/6/2020,A,A3,Confection,0.5,5556,22446,0.25,-0.25,226,25,0.15,Mehdi,2
100,SOTUINTEX,1/6/2020,B,B1,Confection,0.5,0,20292,0,-0.5,0,0,0.13,Mehdi,2
101,SOTUINTEX,1/6/2020,B,B2,Confection,0.5,5125,12390,0.41,-0.09,250,21,0.2,Mehdi,2
102,SOTUINTEX,1/6/2020,B,B3,Confection,0.5,1573,5405,0.29,-0.21,170,9,0.18,Mehdi,2
103,SOTUINTEX,1/6/2020,C,C1,Confection,0.5,9900,27922,0.35,-0.15,300,33,0.11,Mehdi,2
104,SOTUINTEX,1/6/2020,C,C2,Confection,0.5,14625,28337,0.52,0.02,325,45,0.05,Mehdi,2
105,SOTUINTEX,1/6/2020,C,C3,Confection,0.5,20600,26911,0.77,0.27,400,52,0.15,Mehdi,2
106,FINO INTER,1/6/2020,FINITION,FINITION,,0.7,6570,12480,0.53,-0.17,657,10,0.31,TAREK,2
107,FINO INTER,1/6/2020,EFFET Speciaux,EFFET Speciaux,Lavage,0.7,7079,13920,0.51,-0.19,3463,2,0.24,TAREK,2
108,MCM,1/6/2020,MCM,MCM,Confection,0.5,13694.2,37005,0.37,-0.13,1215,11.2709,0.1,TAREK,2
109,TFG,1/6/2020,TFG,TFG,Confection,0.45,17194.3,40800,0.42,-0.03,1570,10.9518,0.1,TAREK,2
110,ATS,1/6/2020,ATS,ATS,Confection,0.4,12685.6,34585,0.37,-0.03,972,13.0511,0.11,TAREK,2
111,TUNITEX,1/6/2020,A2,Section 2,Confection,0.57,17760.9,34920,0.51,-0.06,1347,13.1855,0.17,TAREK,2
112,TUNITEX,1/6/2020,A3,Section 1,Confection,0.57,12000.3,30855,0.39,-0.18,1400,8.57165,0.26,TAREK,2
113,TUNITEX,1/6/2020,A3,Section 2,Confection,0.57,20306.2,38775,0.52,-0.05,1044,19.4504,0.05,TAREK,2
114,TUNITEX,1/6/2020,A1,A1,Confection,0.57,14943.2,38010,0.39,-0.18,1119,13.3541,0.08,TAREK,2
115,TUNITEX,1/6/2020,A2,Section 1,Confection,0.57,19331.1,33090,0.58,0.01,1371,14.1,0.17,TAREK,2
116,TMT,1/6/2020,M1,M1,Confection,0.57,33828,56957,0.59,0.02,2241,15,0.19,TAREK,2
117,TMT,1/6/2020,M2,Section 11,Confection,0.57,17136,27251,0.63,0.06,1092,16,0.15,TAREK,2
118,TMT,1/6/2020,M2,Section 12,Confection,0.57,16677,29267,0.57,0,2157,8,0.09,TAREK,2
119,POLEX,1/7/2020,P1,PG1,Confection,0.62,7585,12240,0.62,0,494,15,0.06,TAREK,2
120,POLEX,1/7/2020,P1,PG2,Confection,0.62,5386,11730,0.46,-0.16,390,14,0.06,TAREK,2
121,POLEX,1/7/2020,P1,PG3,Confection,0.62,4693,7530,0.62,0,387,12,0.06,TAREK,2
122,POLEX,1/7/2020,P1,PG4,Confection,0.62,4860,10980,0.44,-0.18,210,23,0.06,TAREK,2
123,POLEX,1/7/2020,P1,PG5,Confection,0.62,5057,10200,0.5,-0.12,378,13,0.06,TAREK,2
124,POLEX,1/7/2020,P1,PG6,Confection,0.62,5092,10515,0.48,-0.14,346,15,0.06,TAREK,2
125,POLEX,1/7/2020,P2,TG1,Confection,0.62,7087,10710,0.66,0.04,400,18,0.07,TAREK,2
126,POLEX,1/7/2020,P2,TG2,Confection,0.62,8020,11730,0.68,0.06,240,33,0.07,TAREK,2
127,POLEX,1/7/2020,P2,TG4,Confection,0.62,4333,8670,0.5,-0.12,194,22,0.07,TAREK,2
128,POLEX,1/7/2020,P2,TG5,Confection,0.62,5550,9660,0.57,-0.05,378,15,0.07,TAREK,2
129,POLEX,1/7/2020,P2,TG6,Confection,0.62,5552,9690,0.57,-0.05,378,15,0.07,TAREK,2
130,SOTUINTEX,1/7/2020,A,A1,Confection,0.5,9669,24737,0.39,-0.11,352,27,0.1,Mehdi,2
131,SOTUINTEX,1/7/2020,A,A2,Confection,0.5,9015,24037,0.38,-0.13,459,20,0.1,Mehdi,2
132,SOTUINTEX,1/7/2020,A,A3,Confection,0.5,5340,23627,0.23,-0.27,218,24,0.13,Mehdi,2
133,SOTUINTEX,1/7/2020,B,B1,Confection,0.5,11790,29865,0.39,-0.11,131,90,0.09,Mehdi,2
134,SOTUINTEX,1/7/2020,B,B2,Confection,0.5,3778,8727,0.43,-0.07,292,13,0.25,Mehdi,2
135,SOTUINTEX,1/7/2020,C,C1,Confection,0.5,16500,28388,0.58,0.08,500,33,0.09,Mehdi,2
136,SOTUINTEX,1/7/2020,C,C2,Confection,0.5,15300,27767,0.55,0.05,340,45,0.07,Mehdi,2
137,SOTUINTEX,1/7/2020,C,C3,Confection,0.5,10300,28442,0.36,-0.14,200,52,0.09,Mehdi,2
138,FINO INTER,,FINITION,FINITION,Lavage,0.7,5080,12480,0.41,-0.29,508,10,0.31,TAREK,2
139,FINO INTER,1/7/2020,EFFET Speciaux,EFFET Speciaux,Lavage,0.7,9985,16320,0.61,-0.09,3712,3,0.06,TAREK,2
140,MCM,1/7/2020,MCM,MCM,Confection,0.5,15287.9,38160,0.4,-0.1,1206,12.6765,0.08,TAREK,2
141,TFG,1/7/2020,TFG,TFG,Confection,0.45,16741.6,40770,0.41,-0.04,1534,10.9137,0.08,TAREK,2
142,ATS,1/7/2020,ATS,ATS,Confection,0.4,12577.9,34410,0.37,-0.03,958,13.1294,0.08,TAREK,2
143,TUNITEX,1/7/2020,A2,Section 2,Confection,0.57,18684.4,34620,0.54,-0.03,1467,12.7365,0.17,TAREK,2
144,TUNITEX,1/7/2020,A3,Section 1,Confection,0.57,14221.6,32100,0.44,-0.13,1386,10.2609,0.23,TAREK,2
145,TUNITEX,1/7/2020,A3,Section 2,Confection,0.57,23778.2,38400,0.62,0.05,1263,18.8268,0.06,TAREK,2
146,TUNITEX,1/7/2020,A1,A1,Confection,0.57,20884.2,37950,0.55,-0.02,1406,14.8536,0.06,TAREK,2
147,TUNITEX,1/7/2020,A2,Section 1,Confection,0.57,18675.9,35160,0.53,-0.04,1319,14.1592,0.12,TAREK,2
148,TMT,1/7/2020,M1,M1,Confection,0.57,34163,56872,0.6,0.03,2251,15,0.19,TAREK,2
149,TMT,1/7/2020,M2,Section 11,Confection,0.57,15574,27461,0.57,0,2287,7,0.15,TAREK,2
150,TMT,1/7/2020,M2,Section 12,Confection,0.57,16993,29461,0.58,0.01,2292,7,0.1,TAREK,2
151,POLEX,1/8/2020,P1,PG1,Confection,0.62,6845,11220,0.61,-0.01,459,15,0.06,TAREK,2
152,POLEX,1/8/2020,P1,PG2,Confection,0.62,4672,11730,0.4,-0.22,359,13,0.06,TAREK,2
153,POLEX,1/8/2020,P1,PG3,Confection,0.62,4950,7500,0.66,0.04,404,12,0.06,TAREK,2
154,POLEX,1/8/2020,P1,PG4,Confection,0.62,5091,10845,0.47,-0.15,220,23,0.06,TAREK,2
155,POLEX,1/8/2020,P1,PG5,Confection,0.62,3700,10965,0.34,-0.28,214,17,0.06,TAREK,2
156,POLEX,1/8/2020,P1,PG6,Confection,0.62,5605,11220,0.5,-0.12,480,12,0.06,TAREK,2
157,POLEX,1/8/2020,P2,TG1,Confection,0.62,6963,10710,0.65,0.03,393,18,0.08,TAREK,2
158,POLEX,1/8/2020,P2,TG2,Confection,0.62,8020,11730,0.68,0.06,240,33,0.08,TAREK,2
159,POLEX,1/8/2020,P2,TG4,Confection,0.62,5505,9180,0.6,-0.02,248,22,0.08,TAREK,2
160,POLEX,1/8/2020,P2,TG5,Confection,0.62,6093,9805,0.62,0,415,15,0.08,TAREK,2
161,POLEX,1/8/2020,P2,TG6,Confection,0.62,6228,9923,0.63,0.01,424,15,0.08,TAREK,2
162,SOTUINTEX,1/8/2020,A,A1,Confection,0.5,10819,24232,0.45,-0.05,422,26,0.08,Mehdi,2
163,SOTUINTEX,1/8/2020,A,A2,Confection,0.5,8971,23161,0.39,-0.11,416,22,0.13,Mehdi,2
164,SOTUINTEX,1/8/2020,A,A3,Confection,0.5,4964,24309,0.2,-0.3,230,22,0.1,Mehdi,2
165,SOTUINTEX,1/8/2020,B,B1,Confection,0.5,9000,31537,0.29,-0.21,100,90,0.03,Mehdi,2
166,SOTUINTEX,1/8/2020,B,B2,Confection,0.5,4608,10674,0.43,-0.07,661,7,0.14,Mehdi,2
167,SOTUINTEX,1/8/2020,C,C1,Confection,0.5,10163,29591,0.34,-0.16,319,32,0.02,Mehdi,2
168,SOTUINTEX,1/8/2020,C,C2,Confection,0.5,18900,28429,0.66,0.16,420,45,0.05,Mehdi,2
169,SOTUINTEX,1/8/2020,C,C3,Confection,0.5,9455,28806,0.33,-0.17,305,31,0.05,Mehdi,2
170,FINO INTER,1/8/2020,FINITION,FINITION,Lavage,0.7,5000,13920,0.36,-0.34,500,10,0.17,TAREK,2
171,FINO INTER,1/8/2020,EFFET Speciaux,EFFET Speciaux,Lavage,0.7,11580,16320,0.71,0.01,4248,3,0.06,TAREK,2
172,MCM,1/8/2020,MCM,MCM,Confection,0.5,17385.6,36015,0.48,-0.02,1446,12.0232,0.13,TAREK,2
173,TFG,1/8/2020,TFG,TFG,Confection,0.45,17830.1,40095,0.44,-0.01,1866,9.55525,0.13,TAREK,2
174,ATS,1/8/2020,ATS,ATS,Confection,0.4,12971.8,33855,0.38,-0.02,998,12.9978,0.09,TAREK,2
175,TUNITEX,1/8/2020,A2,Section 1,Confection,0.57,18702.4,34530,0.54,-0.03,1360,13.7518,0.13,TAREK,2
176,TUNITEX,1/8/2020,A2,Section 2,Confection,0.57,20963.7,34560,0.61,0.04,1315,15.942,0.18,TAREK,2
177,TUNITEX,1/8/2020,A3,Section 1,Confection,0.57,17788.4,32205,0.55,-0.02,1470,12.101,0.23,TAREK,2
178,TUNITEX,1/8/2020,A3,Section 2,Confection,0.57,23372.7,38085,0.61,0.04,1230,19.0022,0.07,TAREK,2
179,TUNITEX,1/8/2020,A1,A1,Confection,0.57,21133.8,36585,0.58,0.01,1658,12.7466,0.11,TAREK,2
180,TMT,1/8/2020,M1,M1,Confection,0.57,35131,59037,0.6,0.03,2024,17,0.16,TAREK,2
181,TMT,1/8/2020,M2,Section 11,Confection,0.57,16702,28616,0.58,0.01,2412,7,0.11,TAREK,2
182,TMT,1/8/2020,M2,Section 12,Confection,0.57,16190,31178,0.52,-0.05,2350,7,0.06,TAREK,2
183,POLEX,1/9/2020,P1,PG1,Confection,0.62,6757,11220,0.6,-0.02,432,16,0.05,TAREK,2
184,POLEX,1/9/2020,P1,PG2,Confection,0.62,3620,11730,0.31,-0.31,313,12,0.05,TAREK,2
185,POLEX,1/9/2020,P1,PG3,Confection,0.62,4313,7590,0.57,-0.05,352,12,0.05,TAREK,2
186,POLEX,1/9/2020,P1,PG4,Confection,0.62,5554,11100,0.5,-0.12,240,23,0.05,TAREK,2
187,POLEX,1/9/2020,P1,PG5,Confection,0.62,4030,11220,0.36,-0.26,198,20,0.05,TAREK,2
188,POLEX,,P1,PG6,Confection,0.62,4180,11220,0.37,-0.25,358,12,0.05,TAREK,2
189,POLEX,1/9/2020,P2,TG1,Confection,0.62,6857,10710,0.64,0.02,387,18,0.05,TAREK,2
190,POLEX,1/9/2020,P2,TG2,Confection,0.62,8010,11730,0.68,0.06,240,33,0.05,TAREK,2
191,POLEX,1/9/2020,P2,TG4,Confection,0.62,3592,8865,0.41,-0.21,246,15,0.05,TAREK,2
192,POLEX,1/9/2020,P2,TG5,Confection,0.62,4904,10455,0.47,-0.15,334,15,0.05,TAREK,2
193,POLEX,1/9/2020,P2,TG6,Confection,0.62,3163,10200,0.31,-0.31,228,14,0.05,TAREK,2
194,SOTUINTEX,1/9/2020,A,A1,Confection,0.5,11121,25714,0.43,-0.07,470,24,0.06,Mehdi,2
195,SOTUINTEX,1/9/2020,A,A2,Confection,0.5,9102,25105,0.36,-0.14,446,20,0.06,Mehdi,2
196,SOTUINTEX,1/9/2020,A,A3,Confection,0.5,5319,25226,0.21,-0.29,257,21,0.06,Mehdi,2
197,SOTUINTEX,1/9/2020,B,B1,Confection,0.5,12425,28528,0.44,-0.06,250,50,0.05,Mehdi,2
198,SOTUINTEX,1/9/2020,B,B2,Confection,0.5,3449,12748,0.27,-0.23,403,9,0.12,Mehdi,2
199,SOTUINTEX,1/9/2020,C,C1,Confection,0.5,8481,27731,0.31,-0.19,257,33,0.11,Mehdi,2
200,SOTUINTEX,1/9/2020,C,C2,Confection,0.5,15525,26438,0.59,0.09,345,45,0.12,Mehdi,2
201,SOTUINTEX,1/9/2020,C,C3,Confection,0.5,7750,27381,0.28,-0.22,250,31,0.13,Mehdi,2
202,FINO INTER,1/9/2020,FINITION,FINITION,Lavage,0.7,8310,12960,0.64,-0.06,831,10,0.26,TAREK,2
203,FINO INTER,1/9/2020,EFFET Speciaux,EFFET Speciaux,,0.7,12402,16800,0.74,0.04,4353,3,0.03,TAREK,2
204,MCM,1/9/2020,MCM,MCM,Confection,0.5,18526.2,37845,0.49,-0.01,1609,11.5141,0.08,TAREK,2
205,TFG,1/9/2020,TFG,TFG,Confection,0.45,9230.39,24615,0.38,-0.08,895,10.3133,0.08,TAREK,2
206,ATS,1/9/2020,ATS,ATS,Confection,0.4,13150.7,32670,0.4,0,1017,12.9309,0.11,TAREK,2
207,TUNITEX,1/9/2020,A2,Section 1,Confection,0.57,13932.1,34305,0.41,-0.16,991,14.0587,0.14,TAREK,2
208,TUNITEX,1/9/2020,A2,Section 2,Confection,0.57,20553.6,35520,0.58,0.01,1639,12.5403,0.17,TAREK,2
209,TUNITEX,1/9/2020,A3,Section 1,Confection,0.57,19365.3,34335,0.56,-0.01,1460,13.2639,0.19,TAREK,2
210,TUNITEX,1/9/2020,A3,Section 2,Confection,0.57,21984.5,37515,0.59,0.02,1138,19.3186,0.08,TAREK,2
211,TUNITEX,1/9/2020,A1,A1,Confection,0.57,21201.6,38265,0.55,-0.02,1582,13.4018,0.08,TAREK,2
212,TMT,1/9/2020,M1,M1,Confection,0.57,34566,56945,0.61,0.04,2441,14,0.19,TAREK,2
213,TMT,1/9/2020,M2,Section 11,Confection,0.57,16495,28830,0.57,0,2346,7,0.12,TAREK,2
214,TMT,1/9/2020,M2,Section 12,Confection,0.57,17917,32302,0.55,-0.02,2602,7,0.04,TAREK,2
215,POLEX,1/10/2020,P1,PG1,Confection,0.62,6728,10710,0.63,0.01,435,15,0.07,TAREK,2
216,POLEX,1/10/2020,P1,PG2,Confection,0.62,6090,12240,0.5,-0.12,529,12,0.07,TAREK,2
217,POLEX,1/10/2020,P1,PG3,Confection,0.62,3370,7920,0.43,-0.19,275,12,0.07,TAREK,2
218,POLEX,1/10/2020,P1,PG4,Confection,0.62,7405,11370,0.65,0.03,324,23,0.07,TAREK,2
219,POLEX,1/10/2020,P1,PG5,Confection,0.62,6106,11220,0.54,-0.08,300,20,0.07,TAREK,2
220,POLEX,1/10/2020,P1,PG6,Confection,0.62,1168,11220,0.1,-0.52,100,12,0.07,TAREK,2
221,POLEX,1/10/2020,P2,TG1,,0.62,7229,11070,0.65,0.03,408,18,0.07,TAREK,2
222,POLEX,1/10/2020,P2,TG2,Confection,0.62,7549,11085,0.68,0.06,226,33,0.07,TAREK,2
223,POLEX,1/10/2020,P2,TG4,Confection,0.62,2780,11385,0.24,-0.38,240,12,0.07,TAREK,2
224,POLEX,1/10/2020,P2,TG5,Confection,0.62,3304,8415,0.39,-0.23,225,15,0.07,TAREK,2
225,POLEX,1/10/2020,P2,TG6,Confection,0.62,2935,9945,0.3,-0.32,248,12,0.07,TAREK,2
